test_year,accuracy,balanced_accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail
2014,0.8264462809917356,0.7181677018633541,0.7681344276841171,0.8928571428571429,0.8928571428571429,0.5434782608695652,0.5434782608695652
2015,0.7407407407407407,0.6906319086219601,0.7418017686072218,0.7880434782608695,0.8215297450424929,0.5932203389830508,0.5263157894736842
2016,0.7191489361702128,0.7624364047484454,0.8047861315244018,0.6724137931034483,0.78,0.8524590163934426,0.611764705882353
2017,0.7327586206896551,0.729269695227142,0.7929844738355377,0.7351351351351352,0.8143712574850299,0.723404255319149,0.5230769230769231
2018,0.7722772277227723,0.6505255255255256,0.8011136136136137,0.9121621621621622,0.8544303797468354,0.3888888888888889,0.4772727272727273
