test_year,train_n,test_n,accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail,actual_fail_pred_fail,actual_fail_pred_pass,actual_pass_pred_fail,actual_pass_pred_pass
2014,912,242,0.8429752066115702,0.7929791481810115,0.9438775510204082,0.9068627450980392,0.41304347826086957,0.5,19,27,11,185
2015,911,243,0.7325102880658436,0.7380250552689755,0.9021739130434783,0.836272040302267,0.2033898305084746,0.2696629213483146,12,47,18,166
2016,919,235,0.7531914893617021,0.8118522705860186,0.7528735632183908,0.81875,0.7540983606557377,0.6133333333333333,46,15,43,131
2017,922,232,0.8232758620689655,0.8334100057504313,0.8864864864864865,0.8888888888888888,0.574468085106383,0.5684210526315789,27,20,21,164
2018,952,202,0.7623762376237624,0.8320195195195195,0.9527027027027027,0.8545454545454545,0.24074074074074073,0.35135135135135137,13,41,7,141
