test_year,accuracy,balanced_accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail
2014,0.8140495867768595,0.7105146406388643,0.7598158828748891,0.8775510204081632,0.884318766066838,0.5434782608695652,0.5263157894736842
2015,0.7119341563786008,0.6888817243920413,0.7478352984524688,0.7336956521739131,0.7941176470588235,0.6440677966101694,0.5205479452054794
2016,0.7404255319148936,0.7661579046542303,0.7815149802148106,0.7126436781609196,0.8025889967637541,0.819672131147541,0.6211180124223602
2017,0.75,0.7718228867165038,0.8324324324324324,0.7351351351351352,0.8242424242424242,0.8085106382978723,0.5671641791044776
2018,0.7821782178217822,0.669044044044044,0.7907907907907907,0.9121621621621622,0.8598726114649682,0.42592592592592593,0.5111111111111111
