test_year,train_n,test_n,accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail,actual_fail_pred_fail,actual_fail_pred_pass,actual_pass_pred_fail,actual_pass_pred_pass
2014,912,242,0.8264462809917356,0.7682453416149068,0.8928571428571429,0.8928571428571429,0.5434782608695652,0.5434782608695652,25,21,21,175
2015,911,243,0.7407407407407407,0.7375644804716286,0.7880434782608695,0.8215297450424929,0.5932203389830508,0.5263157894736842,35,24,39,145
2016,919,235,0.7106382978723405,0.801488599962314,0.6609195402298851,0.7718120805369127,0.8524590163934426,0.6046511627906976,52,9,59,115
2017,922,232,0.7413793103448276,0.8054629097182288,0.7405405405405405,0.8203592814371258,0.7446808510638298,0.5384615384615384,35,12,48,137
2018,952,202,0.7673267326732673,0.8063063063063063,0.9054054054054054,0.8507936507936508,0.3888888888888889,0.47191011235955055,21,33,14,134
