test_year,train_n,test_n,accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail,actual_fail_pred_fail,actual_fail_pred_pass,actual_pass_pred_fail,actual_pass_pred_pass
2014,912,242,0.8099173553719008,0.750388198757764,0.8724489795918368,0.8814432989690721,0.5434782608695652,0.5208333333333334,25,21,25,171
2015,911,243,0.7119341563786008,0.7222273397199706,0.7336956521739131,0.7941176470588235,0.6440677966101694,0.5205479452054794,38,21,49,135
2016,919,235,0.7361702127659574,0.8033729037120784,0.7126436781609196,0.8,0.8032786885245902,0.6125,49,12,50,124
2017,922,232,0.7543103448275862,0.834272570442783,0.745945945945946,0.8288288288288288,0.7872340425531915,0.5648854961832062,37,10,47,138
2018,952,202,0.7871287128712872,0.7834084084084085,0.918918918918919,0.8634920634920635,0.42592592592592593,0.5168539325842697,23,31,12,136
