test_year,train_n,test_n,accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail,actual_fail_pred_fail,actual_fail_pred_pass,actual_pass_pred_fail,actual_pass_pred_pass
2014,912,242,0.8223140495867769,0.7714618456078083,0.8877551020408163,0.8900255754475703,0.5434782608695652,0.5376344086021505,25,21,22,174
2015,911,243,0.7078189300411523,0.7477431834929994,0.7336956521739131,0.7917888563049853,0.6271186440677966,0.5103448275862069,37,22,49,135
2016,919,235,0.7404255319148936,0.8113811946485774,0.7068965517241379,0.8013029315960912,0.8360655737704918,0.6257668711656442,51,10,51,123
2017,922,232,0.7543103448275862,0.8606095457159288,0.7243243243243244,0.8246153846153846,0.8723404255319149,0.5899280575539568,41,6,51,134
2018,952,202,0.806930693069307,0.8256381381381381,0.9459459459459459,0.877742946708464,0.42592592592592593,0.5411764705882353,23,31,8,140
