test_year,accuracy,balanced_accuracy,auc,recall_pass,f1_pass,recall_fail,f1_fail
2014,0.8388429752066116,0.7008651286601597,0.7819986690328306,0.923469387755102,0.9027431421446384,0.4782608695652174,0.5301204819277109
2015,0.7366255144032922,0.5727708179808401,0.7429071481208549,0.8913043478260869,0.8367346938775511,0.2542372881355932,0.3191489361702128
2016,0.7531914893617021,0.7534859619370642,0.8121349161484831,0.7528735632183908,0.81875,0.7540983606557377,0.6133333333333333
2017,0.8275862068965517,0.7490511788384129,0.8393904542840713,0.8810810810810811,0.8907103825136612,0.6170212765957447,0.5918367346938775
2018,0.7673267326732673,0.605980980980981,0.8165665665665667,0.9527027027027027,0.8571428571428571,0.25925925925925924,0.37333333333333335
